Name,Price,Reviews,Popularity,Developer,Genres,Critics score,OS,Processor,Memory,Graphics,DirectX,Network,Storage
American Truck Simulator - Steering Creations Pack,118,Very Positive,267,SCS Software,"Indie, Simulation",,['Windows7'], Dual core CPU 2.4 GHz, 4 GB RAM, GeForce GTS 450-class (Intel HD 4000),,, 3 GB available space
The Textorcist: The Story of Ray Bibbia,360,Very Positive,13,MorbidWare,"Action, Indie",78,['Windows7'], 1.4 GHz, 2 GB RAM, 512 MB, Version 9.0c,, 250 MB available space
Richie's Plank Experience,360,Very Positive,557,Toast,"Casual, Indie, Simulation",,"['Windows7', 'Windows10']", Intel i5, 4 GB RAM, Nvidia 980, Version 10,, 2050 MB available space
The Forest of Drizzling Rain,372,Very Positive,25,"Vaka Game Magazine, Makoto Sanada","Adventure, Indie, RPG",,['Windows10'], Intel Core2 Duo, 2 GB RAM, Open GL compliant video card,,, 1 GB available space
Zup! 5,82,Very Positive,16,Quiet River,"Casual, Indie",,['WindowsXP'], Intel Celeron 1800 MHz, 256 MB RAM, Intel HD Graphics, Version 9.0,, 25 MB available space
Winkeltje: The Little Shop,360,Very Positive,19,Sassybot,"Casual, Indie, Simulation",,['Windows7'], i5 6300U, 6 GB RAM, Intel HD 520, Version 11,, 512 MB available space
Euro Truck Simulator 2 - Lithuanian Paint Jobs Pack,39,Positive,49,SCS Software,"Indie, Simulation",,['Windows7'], Dual core CPU 2.4 GHz, 4 GB RAM, GeForce GTS 450-class (Intel HD 4000),,,
Maximum Action,360,Very Positive,22,George Mandell,"Action, Indie, Early Access",,['Windows7'], 2.4GHZ Dual Core Processor Or Higher, 4 GB RAM, GeForce 9800GT Or Equivalent, Version 9.0,, 1 GB available space
Euro Truck Simulator 2 - Estonian Paint Jobs Pack,39,Very Positive,51,SCS Software,"Indie, Simulation",,['Windows7'], Dual core CPU 2.4 GHz, 4 GB RAM, GeForce GTS 450-class (Intel HD 4000),,,
Time Wasters,125,Very Positive,684,Proton Studio,"Action, Casual, Indie, RPG, Early Access",,['Windows7'], 2 GHz, 4 GB RAM,,,, 500 MB available space
Autonauts vs Piratebots,999,Very Positive,268,Denki,"Casual, Indie, Simulation, Strategy",,['Windows7'], Intel Core i5-6600K (4 * 3500), 8 GB RAM, GeForce GTX 750 (2048 MB),,, 1 GB available space
Human Resource Machine,360,Very Positive,23,Tomorrow Corporation,"Casual, Indie, Simulation",78,[], 1.5Ghz CPU, 1 GB RAM, graphics card that supports Shader Model 2.0, Version 9.0c,, 200 MB available space
Terminus: Zombie Survivors,374,Very Positive,47,신인건,"Adventure, Indie, RPG, Strategy, Early Access",,['Windows7'], 2.5 GHz, 2 GB RAM," GeForce 6600 GT , Ati Radeon 9800XT",,, 500 MB available space
Virtual Fighting Championship (VFC),398,Mostly Positive,148,"L&L Technology, Yang.L","Action, Indie, Simulation, Sports, Early Access",,['Windows10']," Intel i7-7700 HQ,", 4 GB RAM, NVIDIA GeForce GTX 1070,, Broadband Internet connection, 2500 MB available space
Pixel Puzzles Ultimate Jigsaw,0,Mostly Positive,20,Pixel Puzzles,"Casual, Free to Play, Indie, Simulation, Sports, Strategy",,['Windows10'], Intel® Core 2 Duo, 2 GB RAM, DirectX 9.0 Compatible,,, 300 MB available space
War for the Overworld - The Under Games Expansion,259,Mostly Positive,34,Brightrock Games,"Indie, Simulation, Strategy",,"['Windows7', 'Windows8', 'Windows10']", Dual Core CPU @ 2.5GHz, 4GB RAM, Nvidia GT450 series with 512MB RAM,,,
